	L1S105	L1S140	L1S208	L1S257	L1S281	L1S57	L1S76	L1S8	L2S155	L2S175	L2S204	L2S222	L2S240	L2S309	L2S357	L2S382	L3S294	L3S313	L3S378	L4S112	L4S137	L4S63	L5S104	L5S155	L5S174	L5S203	L5S222	L5S240	L6S20	L6S68	L6S93
L3S294	0.8094206065996162	0.8296773437116182	0.8395973952007112	0.8256933025813267	0.7941798509020324	0.7653018281684061	0.8121944075841147	0.7944741621495502	0.12615238253676175	0.23959404946684773	0.3336000260332526	0.3513739830887549	0.4136431181608879	0.3067350431948361	0.25310770162327856	0.4638270133609929	0.0	0.2296226631422551	0.8380284890001205	0.28821421967803407	0.35525319704411934	0.27792140914671953	0.4529481569774356	0.45315398322385236	0.7005382169805049	0.4625571998360663	0.5128623200707334	0.43716984109514867	0.42197122845477275	0.43096861315044865	0.6804346701431756
L3S313	0.7890071875743172	0.8164075180633058	0.8317172373381106	0.8183687892395262	0.7868499463513204	0.7578587188400232	0.8050096888318194	0.7875767151388515	0.22371288398535805	0.09032307274711598	0.4375561301950128	0.43606189688142294	0.3889761620270747	0.2007698595812269	0.1562233321857257	0.3977286141426225	0.2296226631422551	0.0	0.8302402966638135	0.18227507212117366	0.2816494790168249	0.26593569574334197	0.43214402868736496	0.3796382687537374	0.6512991976170719	0.3933581726332692	0.48728554956042436	0.41611672388333265	0.42715318489074455	0.40003611064868905	0.6684774763527548
L3S378	0.09930930179052867	0.037952422064988584	0.09570253890170712	0.132665635771798	0.14309606015640153	0.1472771833985333	0.0838971953602863	0.14881165505054167	0.8328252423992213	0.830795558354178	0.7217256441846196	0.7275664839796102	0.7486320007359725	0.7961999058478388	0.7968484728043252	0.7306370822798585	0.8380284890001205	0.8302402966638135	0.0	0.7768963543272025	0.7441051702269874	0.8384202556030537	0.7829823054704116	0.7639687676470369	0.6540201559861977	0.7517711402610133	0.7234341661281144	0.7491145587335828	0.7348180274985296	0.7477456572889642	0.6313113876673244
L4S112	0.7390042192770607	0.7652806804918717	0.7756916481652251	0.7622559608166342	0.7323023018222078	0.7031532484804651	0.74880741006214	0.7304170488610107	0.2611746879175043	0.19478633175743598	0.3207332158059884	0.31122939642581415	0.31627504602221695	0.1073559318127867	0.0854763277809235	0.33007071700893	0.28821421967803407	0.18227507212117366	0.7768963543272025	0.0	0.1985526046658284	0.20263360986524723	0.3423341286848795	0.31272796919462226	0.5860074978877277	0.326681296140813	0.41467003231548877	0.3459385426494246	0.36229381485440276	0.32874584249367106	0.5940117136670718
L4S137	0.702876112756132	0.7306427917716403	0.7457345143974022	0.7310281302173258	0.6994077229104109	0.6713123207248939	0.7176149933200635	0.7006695414689708	0.32500364510375407	0.25503127995565117	0.32220888726215996	0.2822309541147385	0.24560559131429296	0.243061301229511	0.21333887506603022	0.21781423789998922	0.35525319704411934	0.2816494790168249	0.7441051702269874	0.1985526046658284	0.0	0.318827414569884	0.26833982412078217	0.23908865773810356	0.48933235003242154	0.2183306436369052	0.2910111677398748	0.2708887951856752	0.29786918755366865	0.2512107068952996	0.4769577676800204
L4S63	0.7944814493858671	0.8244187253011093	0.8388281022358887	0.8244431424826456	0.7941915283663573	0.7639842183814816	0.8116022124067	0.7822522741912031	0.2448307315144192	0.2698428963654567	0.3398666112825275	0.30498545832324353	0.40353894014121944	0.1671305728856515	0.21588404335445308	0.409397542519194	0.27792140914671953	0.26593569574334197	0.8384202556030537	0.20263360986524723	0.318827414569884	0.0	0.42572947871666134	0.43839967226876114	0.6678356870140663	0.4457200114280754	0.5036702433601936	0.428983364680139	0.4211976800309913	0.41979220687759466	0.663435545426691
L5S104	0.7445599184782936	0.7714571583632233	0.7840161841473707	0.7734383165372526	0.740266081439444	0.7145861440402543	0.7592380132307727	0.7442967775025676	0.4518079429028434	0.41501669632226773	0.40444309607229617	0.37245829223612315	0.2387060837558389	0.3759904219071701	0.3528714344753886	0.2712969506544907	0.4529481569774356	0.43214402868736496	0.7829823054704116	0.3423341286848795	0.26833982412078217	0.42572947871666134	0.0	0.22429727555058354	0.4171092459340457	0.17688501128060027	0.22787587415814628	0.22605920835383259	0.3319168209330599	0.2278581234236937	0.42398818219353496
L5S155	0.7259876901177349	0.753059917073287	0.7635424075088023	0.7526592821397593	0.7193749258414421	0.6951259387459151	0.7386989901917299	0.7253620086283616	0.42296881012736687	0.3534516596954349	0.3652129802501665	0.3445240787896877	0.09889276099433957	0.35019317701238006	0.31666390900978136	0.34036060393717377	0.45315398322385236	0.3796382687537374	0.7639687676470369	0.31272796919462226	0.23908865773810356	0.43839967226876114	0.22429727555058354	0.0	0.4587474031803573	0.10536398883197977	0.23383752454245837	0.07879634062682796	0.17184577829610967	0.08870055829528166	0.4427258199784401
L5S174	0.616982951049837	0.642124818165527	0.6552348954248426	0.6430270762353354	0.6088706485287148	0.5863357959848039	0.6299555351125935	0.6152389130464948	0.6732793129161199	0.6369712857356051	0.6043387757535881	0.5625849766332964	0.4347324914029659	0.6212895948400518	0.6046328930605573	0.3983288881412881	0.7005382169805049	0.6512991976170719	0.6540201559861977	0.5860074978877277	0.48933235003242154	0.6678356870140663	0.4171092459340457	0.4587474031803573	0.0	0.3927299448551376	0.31164875914171797	0.44071032958033235	0.48109292172184814	0.4295787892933193	0.1447354641585997
L5S203	0.7145318678805321	0.7406734328409863	0.753126727754727	0.7411047169779006	0.7072203509860164	0.6836692706709224	0.7277828318143176	0.7139573720446456	0.43318644445288756	0.367503362651341	0.3793066502528687	0.34583437561856656	0.11997440202642638	0.36113628887702126	0.3312892959093461	0.2520713991750846	0.4625571998360663	0.3933581726332692	0.7517711402610133	0.326681296140813	0.2183306436369052	0.4457200114280754	0.17688501128060027	0.10536398883197977	0.3927299448551376	0.0	0.1510495381590768	0.13299133970175583	0.1889311474048485	0.108215518154261	0.3645250803749602
L5S222	0.6846180371784718	0.7110211550564216	0.7241401528656423	0.7118042145453612	0.6784767146675804	0.6558252029133433	0.6987451530127496	0.6843235712031897	0.4847949784194978	0.4710787119401229	0.42005585488388014	0.373387909049271	0.19219131921013313	0.4532418698479306	0.4261170014062902	0.23212663270018294	0.5128623200707334	0.48728554956042436	0.7234341661281144	0.41467003231548877	0.2910111677398748	0.5036702433601936	0.22787587415814628	0.23383752454245837	0.31164875914171797	0.1510495381590768	0.0	0.2112374082272333	0.25974157245527146	0.17460012287545676	0.26853160887168337
L5S240	0.711479331751666	0.7378149033986048	0.7506795535516478	0.7388383799807163	0.7052337543778068	0.6814399771206524	0.72505998682087	0.7106561460455731	0.40576482859268953	0.40253390496941654	0.34661538430929456	0.3217919507987243	0.06634388404671186	0.385893609954555	0.3583881407083064	0.3220301068598428	0.43716984109514867	0.41611672388333265	0.7491145587335828	0.3459385426494246	0.2708887951856752	0.428983364680139	0.22605920835383259	0.07879634062682796	0.44071032958033235	0.13299133970175583	0.2112374082272333	0.0	0.13229214422405064	0.05676663677348679	0.40374043766173556
L6S20	0.6977024906955811	0.7232846698856287	0.7364338097612394	0.7243712048583724	0.6898442968943013	0.6676282953529385	0.7110214121752081	0.696504573318325	0.4004307810543422	0.41660113601124354	0.3312044725767199	0.33192220964219676	0.11715471072027572	0.4001738631514196	0.3671161284652901	0.362406813327317	0.42197122845477275	0.42715318489074455	0.7348180274985296	0.36229381485440276	0.29786918755366865	0.4211976800309913	0.3319168209330599	0.17184577829610967	0.48109292172184814	0.1889311474048485	0.25974157245527146	0.13229214422405064	0.0	0.13131631794698942	0.4154445934066755
L6S68	0.7090489108985835	0.7357489002276948	0.7476152157502642	0.7366313013843773	0.7031114295961848	0.6790300604697063	0.7225999518823256	0.708355831302972	0.39976228556036114	0.38232245934303166	0.3505845847262282	0.3196217341768494	0.03972179817455821	0.3671246829157504	0.3407611676520673	0.29442583684867124	0.43096861315044865	0.40003611064868905	0.7477456572889642	0.32874584249367106	0.2512107068952996	0.41979220687759466	0.2278581234236937	0.08870055829528166	0.4295787892933193	0.108215518154261	0.17460012287545676	0.05676663677348679	0.13131631794698942	0.0	0.39489627583663683
L6S93	0.5914463084618256	0.6198896838575708	0.6309476242871989	0.6198646864209374	0.5871933153314675	0.5631309828525909	0.6061015599067984	0.5931885260857314	0.6506699159385387	0.6456365769160507	0.5690683645934376	0.5378653242939457	0.40257688424042554	0.631835894329916	0.605319661975829	0.38706397867518366	0.6804346701431756	0.6684774763527548	0.6313113876673244	0.5940117136670718	0.4769577676800204	0.663435545426691	0.42398818219353496	0.4427258199784401	0.1447354641585997	0.3645250803749602	0.26853160887168337	0.40374043766173556	0.4154445934066755	0.39489627583663683	0.0
