,0
8af8bf43c96e4164b7f65ef31a7e6377,29.0
5654a6d87d5b283b26d33d7db05812b5,29.0
30e33f96ea265acfad53b9e342f50fbb,28.0
665686878704f5fdc85f232f16c6f0d5,28.0
e826de373679d248e430647881766b6b,28.0
40ddf845a173378e348b9e620323ddf8,28.0
e015a2ce3d46607e3dd02f9daa90be0f,28.0
122acdbd4bdaabd1b305e1d0534f4706,27.0
b0355d710565c30df1ea5a7b8ba8ba16,27.0
5d25658112dfb203a056f309bfd71b33,26.0
9eeb999fde6304b43afd7fa084e9c04d,26.0
a3be3a72b7670046ba70911aa2882f67,26.0
20e73a2d29df70ed87f51e6e206d3cb7,26.0
2ce1fe4f3cc6d79e2823fda3c488ced8,26.0
08092879670ba6722b71a754c8583297,25.0
783eb51b282e14c34394055e14b0018b,25.0
1845a16f77bf981c04d21209d691c559,25.0
dcc077f17eef6c80974a8ce6cae1b4b7,25.0
7ad4a9eb73bf8d26c0cbe0ac14e00535,25.0
3893e09a3978ae87e6c8730ff0b83a36,25.0
beb4a4ba3980a8569d393c1778f858fb,24.0
c5e862a69d37c69d51a9d5ddaae33fff,23.0
d0585120e1628ba59b70eea40d61eba7,23.0
7307ba8c40ddb44f48dbfc75dd0358a0,23.0
880659cd57f29ab2555e756b05544710,23.0
6600e4cc34903c9f35e1a892d5aa74ca,23.0
0d9452baf09351302e8122fcfe0a5883,23.0
05fb6d11f51e041543526d549b7bc06d,22.0
d1dffadef3052410039dc399fe7ef600,22.0
e1c94edb7d2256a9373e37f50b9897d6,22.0
9f58a5d06eff44f2e08fe2c314ae408b,22.0
d64094553510c8c498ba581d6601e581,21.0
84193c96ed5ae9200a397d2de2844a2d,21.0
4d1dde527513f505e736120750ed4451,21.0
65d7cfe6014d0a2a98ba3fd5864a2caf,21.0
c8d64e5f4e7447e6e5287d33127f0da5,20.0
81b5641bbbf56bef792ca39326128a2d,20.0
f096775985c961c78beee07f4184e9a9,20.0
5389d2d84d747cd329d37ad84dd47ca0,20.0
be18feeeefdc2676d34c6fc5fc68e3e6,19.0
ef1a5302c880047971dfe397dca447d9,19.0
62a405b37513f76ac8c317a79cd7b0f3,19.0
e5afe0398dccc830fa603f5491d7b7fd,19.0
fe67143c4f39b2c2061dea81d8c848a3,19.0
d20863a32416a7d75e37518f208f63ab,19.0
494fe3880965c5160900d7bb4537a46c,19.0
aaa1bfd7652ce79a7c247936e3d69929,19.0
a9b75ddb294d1d92a91b990dae47fcdf,19.0
68ed4a42fe014ce8c1961b7952b45849,19.0
896f37c9e1b1334d565433c9ba5016de,18.0
26d2f5e9269b0e3a3894ae5b82da4550,17.0
6c81d9cebdc366a5c02df2d19a808efe,17.0
6adccdd16c34ee7354d2cdf3c90defff,17.0
c41284bcbef3757bbcbdecfb3a49c168,17.0
69717c1ef25d4ce0359bce597961db60,17.0
358c8db87886db4fda24acef4717addf,16.0
8913cef2794ae8f930b66e30950b1e6c,16.0
0ecee1e191d0edc270268108ef450847,16.0
ccf26eae67f90eb4f6208239c22115dc,16.0
c810ff6660b303ed806f66116e7e82da,15.0
c7ff14def7104f63770726291eb024f9,15.0
266f174c11621b1ee70d3d035cd92274,15.0
96c74bd69f2bc64022938311b080ae0b,15.0
e3681d018d51e8a479f6581df5e3d783,15.0
e45262a378645912083eebf496159917,15.0
e82edcf198815a24b71f79143a5ea99f,14.0
bb90ed636417eb44da07f822e2c17232,14.0
261a7daaaa23410b721b681215ef4bbb,14.0
a422ee975f4134114982961dde6cbfe5,14.0
1f379473f8e3748902a3b7b14c8b3558,14.0
ff68a699060cc2c4cecaf6646f5248e8,13.0
caa47267cd60082273a3898992883d1b,13.0
d06d4c936cdac86a700dbf7586634e0b,13.0
688951f5870e4be64a004f97dd1c3b22,13.0
b2af134c99ff51a5fcd2f8fc8b82df19,13.0
a45e467c6084164b5b8ffea0fb763da9,13.0
9c5b8574a90e1aa6d8e186f85a95ddd0,12.0
5f2c88a3a4891601394ca52ec9a46643,12.0
fcbe5d2c371bee4ca0e2105d84976856,12.0
75d182f2f98a368128f320f63612071f,11.0
7d481392df630ab491359a4ab41ee5cc,11.0
55b9d48f1a8b6d2dee408bee1393cf0b,11.0
035739f818b94a18c2ebddc795cc924f,10.0
8543d53ad5f1daf3307e61f875fbe873,10.0
babee596e41916d1aa4b3dfef1d46050,10.0
af2f1cbcb0038588bca5bdb7f634240e,10.0
f927b1911128f332b9f1f7e7a579d2b5,10.0
645064e017e1eaf68a13d0b164261d8f,10.0
981d040e7cc4e812548e38d7bc09df3b,10.0
ac022ad57dadab74b10d8d921efe6552,10.0
31257f12a3460ea290c5643580d930ca,10.0
0baa88b6b2239f835c0feb4dd958aafa,10.0
2a778f0d30c885ea9fc8a6038a1c16f1,10.0
265e0591a46973a1d284bf7ae65a7f75,9.0
7c092df6fd7c3ee21b6482e83ac13943,9.0
9b4cb52d64912f3cb3f2a88e3aa6bbb6,9.0
b4414c05daea68c7198901d7e151d65a,9.0
cb4e5c9a90f5429162843ed8534467d2,9.0
de0038ce841c18f310a67f83159f5891,9.0
78add92af434ce1244c28da26a35b6be,8.0
f9b19f4c9bc8d7b1b025b93a62101053,8.0
e37cdfcd9c44d6ff6ed7cc4acee26446,8.0
bd3f48e1e503f61902a05c4b308139cb,8.0
5f654a60c2ae25800ed9b85164b6d60b,8.0
d854da677a59ec820d804b4450ab23b4,8.0
42980f517e31364dc2a2d42347f65628,8.0
0e86145146d64659a1a3bece805ea93e,8.0
8398aece551564a90126703bf748c7be,8.0
d84206e32ded9a2382acb0afda086377,7.0
377743fb30d91e9b6386f53ed67f8d84,7.0
d20e8da63a497234a8c86b30e2966351,7.0
6723ad8d61b68bb47d2bbda67408463b,7.0
38c51ae63afcc81a7f9e23636a555390,7.0
1540cf7616a595cddf06b402aa3f0ffb,7.0
910f2bee8ec6856d5f42fd5efde54870,7.0
f1011c81c71b3246054a0ecfadd89d40,6.0
76254cb4600a612aa502678f5ffe35f3,6.0
adb11f8c4ed6c852c34f205948112438,6.0
381ff9f137c966d35aa1197e9561a429,6.0
9eb95e0f40f1d6d52216e68b08d83eb3,6.0
